date_id,date,day,month,month_name,quarter,year,financial_year,week_of_year,day_of_week,is_weekend,is_public_holiday,is_eofy_month,season
20210510,2021-05-10,10,5,May,Q2,2021,FY2020/21,19,Monday,N,N,N,Autumn
20210511,2021-05-11,11,5,May,Q2,2021,FY2020/21,19,Tuesday,N,N,N,Autumn
20210512,2021-05-12,12,5,May,Q2,2021,FY2020/21,19,Wednesday,N,N,N,Autumn
20210513,2021-05-13,13,5,May,Q2,2021,FY2020/21,19,Thursday,N,N,N,Autumn
20210514,2021-05-14,14,5,May,Q2,2021,FY2020/21,19,Friday,N,N,N,Autumn
20210515,2021-05-15,15,5,May,Q2,2021,FY2020/21,19,Saturday,Y,N,N,Autumn
20210516,2021-05-16,16,5,May,Q2,2021,FY2020/21,19,Sunday,Y,N,N,Autumn
20210517,2021-05-17,17,5,May,Q2,2021,FY2020/21,20,Monday,N,N,N,Autumn
20210518,2021-05-18,18,5,May,Q2,2021,FY2020/21,20,Tuesday,N,N,N,Autumn
20210519,2021-05-19,19,5,May,Q2,2021,FY2020/21,20,Wednesday,N,N,N,Autumn
20210520,2021-05-20,20,5,May,Q2,2021,FY2020/21,20,Thursday,N,N,N,Autumn
20210521,2021-05-21,21,5,May,Q2,2021,FY2020/21,20,Friday,N,N,N,Autumn
20210522,2021-05-22,22,5,May,Q2,2021,FY2020/21,20,Saturday,Y,N,N,Autumn
20210523,2021-05-23,23,5,May,Q2,2021,FY2020/21,20,Sunday,Y,N,N,Autumn
20210524,2021-05-24,24,5,May,Q2,2021,FY2020/21,21,Monday,N,N,N,Autumn
20210525,2021-05-25,25,5,May,Q2,2021,FY2020/21,21,Tuesday,N,N,N,Autumn
20210526,2021-05-26,26,5,May,Q2,2021,FY2020/21,21,Wednesday,N,N,N,Autumn
20210527,2021-05-27,27,5,May,Q2,2021,FY2020/21,21,Thursday,N,N,N,Autumn
20210528,2021-05-28,28,5,May,Q2,2021,FY2020/21,21,Friday,N,N,N,Autumn
20210529,2021-05-29,29,5,May,Q2,2021,FY2020/21,21,Saturday,Y,N,N,Autumn
20210530,2021-05-30,30,5,May,Q2,2021,FY2020/21,21,Sunday,Y,N,N,Autumn
20210531,2021-05-31,31,5,May,Q2,2021,FY2020/21,22,Monday,N,N,N,Autumn
20210601,2021-06-01,1,6,June,Q2,2021,FY2020/21,22,Tuesday,N,N,Y,Winter
20210602,2021-06-02,2,6,June,Q2,2021,FY2020/21,22,Wednesday,N,N,Y,Winter
20210603,2021-06-03,3,6,June,Q2,2021,FY2020/21,22,Thursday,N,N,Y,Winter
20210604,2021-06-04,4,6,June,Q2,2021,FY2020/21,22,Friday,N,N,Y,Winter
20210605,2021-06-05,5,6,June,Q2,2021,FY2020/21,22,Saturday,Y,N,Y,Winter
20210606,2021-06-06,6,6,June,Q2,2021,FY2020/21,22,Sunday,Y,N,Y,Winter
